Node,Paper citation (APA),Year
Falsificationism ,"Popper, K. R. (1965). Conjectures and refutations: The growth of scientific knowledge.",1965
Feminism,"Cooper, B. (2018). Eloquent Rage: A Black Feminist Discovers Her Superpower. St. Martin's Press.",2018
Ubuntu Ethics,"Chu, H. A. (2015). Research Methods in Library and Information Science. Library & Information Science Research, 37(1), 36-41. https://doi.org/10.1016/j.lisr.2014.09.003",2015
Ubuntu Ethics,"Fidel, R. (2008). Are we there yet?: Mixed Methods research in library and information science. Library & Information Science Research, 30, 265-272. https://reader.elsevier.com/reader/sd/pii/S074081880800073X?token=511C60D1E2628C2E08359EDD33E717DDCEC341880FDB0C3BC2FFF5F7068AFC5A2E12DAEB358109E3E47C41F043CE7249
",2008
Ubuntu Ethics,"Hildreth, C. R., & Aytac, S. (2007). Recent Library Practitioner Research: A Methodological Analysis and Critique. Journal of Education for Library and Information Science, 48(3), 236-258. https://www.jstor.org/stable/pdf/40323805.pdf?refreqid=excelsior%3Ae924cd3b08bbde1fa1115739656a3135",2007
Ubuntu Ethics,"Hinder, P., & Pymm, B. (2008). Empirical Research Methods Reported in High Profile LIS Journal Literature. Library and Information Science Research, 30(issue number), 108-114. https://is.muni.cz/el/1421/podzim2015/VIKBA12/um/59328258/Hider_Pymm_2008_Empirical_research_methods_LIS.pdf",2008
Ethnography,"Khoo, M., Rozaklis, L., & Hall, C. (2012). A survey of the use of ethnographic methods in the study of libraries and library users. Library & Information Science Research, 34(2), 82-91. https://www.sciencedirect.com/science/article/pii/S0740818812000096",2012
Grounded Theory,"Floegel, D. (2020). “Write the story you want to read”: world-queering through slash fanfiction creation. Journal of Documentation, 76(4), 785–805. https://doi-org.proxy-um.researchport.umd.edu/10.1108/JD-11-2019-0217",2020
Grounded Theory,"Spiteri, L. F., & Pecoskie, J. (2016). Affective taxomonies of the reading experience: Using user-generated reviews for readers’ advisory. Proceedings of the Association for Information Science & Technology, 53(1), 1–9. https://doi-org.proxy-um.researchport.umd.edu/10.1002/pra2.2016.14505301032",2016
ethnography,"Vasudevan, K. (2019). Oppositional Designs: Examining How Racial Identity Informs the Critical Design of Art and Space. Communication, Culture and Critique, 12(1), 90–109. https://doi.org/10.1093/ccc/tcz001",2019
ethnography,"Khovanskaya, V., Sengers, P., Mazmanian, M., & Darrah, C. (2017). Reworking the Gaps between Design and Ethnography. Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems, 5373–5385. https://doi.org/10.1145/3025453.3026051",2017
dialogical methods,"Brinkman, W.-P., Hartanto, D., Kang, N., de Vliegher, D., Kampmann, I. L., Morina, N., Emmelkamp, P. G. M., & Neerincx, M. (2012). A virtual reality dialogue system for the treatment of social phobia. Proceedings of the 2012 ACM Annual Conference Extended Abstracts on Human Factors in Computing Systems Extended Abstracts - CHI EA ’12, 1099–1102. https://doi.org/10.1145/2212776.2212395",2012
dialogical methods,"Larkin, F., Hobson, J. A., Hobson, R. P., & Tolmie, A. (2017). Collaborative competence in dialogue: Pragmatic language impairment as a window onto the psychopathology of autism. Research in Autism Spectrum Disorders, 43–44, 27–39. https://doi.org/10.1016/j.rasd.2017.09.004",2017
,"Bhattacherjee, Anol, ""Social Science Research: Principles, Methods, and Practices"" (2012). Textbooks Collection. 3.
http://scholarcommons.usf.edu/oa_textbooks/3",2012
,"Togia, A., &amp; Malliari, A. (2017, June 28). Research Methods in Library and Information Science. Retrieved December 15, 2020, from https://www.intechopen.com/books/qualitative-versus-quantitative-research/research-methods-in-library-and-information-science",2017
Positivism,"Plakitsi, K. (2013). "" Cultural-Historical Activity Theory (CHAT) Framework and Science Education in the Positivistic Tradition"". In Activity Theory in Formal and Informal Science Education. Leiden, The Netherlands: Brill | Sense. Retrieved Dec 16, 2020, from https://brill-com.proxy-um.researchport.umd.edu/view/book/edcoll/9789460913174/BP000003.xml

",2013
Positivism,"Gilbert O. M. Onwu & William C. Kyle Jr. (2011) Increasing The Socio-Cultural Relevance of Science Education for Sustainable Development, African Journal of Research in Mathematics, Science and Technology Education, 15:3, 5-26, DOI: 10.1080/10288457.2011.10740715",2013
